decile,customers,subscribers,response_rate,lift,cumulative_recall
1,1130,553,0.4893805309734513,4.183796339683772,0.4183055975794251
2,1130,191,0.16902654867256636,1.4450363487877043,0.5627836611195158
3,1131,123,0.10875331564986737,0.929750358150379,0.6558245083207261
4,1130,101,0.08938053097345133,0.7641291687306709,0.7322239031770046
5,1130,88,0.07787610619469026,0.6657759093890994,0.7987897125567323
6,1130,77,0.06814159292035399,0.582553920715462,0.857034795763994
7,1130,56,0.049557522123893805,0.42367557870215417,0.8993948562783661
8,1131,64,0.05658709106984969,0.48377254407824594,0.9478063540090772
9,1130,42,0.03716814159292035,0.3177566840266156,0.9795763993948563
10,1130,27,0.023893805309734513,0.20427215401711002,1.0
